1 spotify_music_Ed-Sheeran_Photograph_hip-hop R_spotify_link	spotify_music_Ed-Sheeran_Photograph_hip-hop_resp_artist	
1 spotify_music_Ed-Sheeran_Photograph_hip-hop R_genre	hip-hop
1 spotify_music_Ed-Sheeran_Photograph_hip-hop R_artist	Ed-Sheeran
1 spotify_music_Ed-Sheeran_Photograph_hip-hop R_album	x-Wembley-Edition
1 spotify_music_Ed-Sheeran_Photograph_hip-hop R_track	Photograph
1 spotify_music_Ed-Sheeran_Photograph_hip-hop R_spotify_link	spotify_music_Ed-Sheeran_Photograph_hip-hop_resp_artist
1 spotify_music_Charlie-Puth_hip-hop R_spotify_link	spotify_music_Charlie-Puth_Attention_hip-hop
1 spotify_music_Charlie-Puth_hip-hop R_genre	hip-hop
1 spotify_music_Charlie-Puth_hip-hop R_album	Attention
1 spotify_music_Charlie-Puth_hip-hop R_artist	Charlie-Puth
1 spotify_music_Ed-Sheeran_pop R_spotify_link	spotify_music_Ed-Sheeran_pop
1 spotify_music_Ed-Sheeran_pop R_genre	pop
1 spotify_music_Ed-Sheeran_pop R_album	5
1 spotify_music_Ed-Sheeran_pop R_artist	Ed-Sheeran
1 spotify_music_Ed-Sheeran_pop R_track	Be Like You
1 spotify_music_Ed-Sheeran_pop R_spotify_link	spotify_music_Ed-Sheeran_pop
1 spotify_music_Ed-Sheeran_pop R_genre	pop
1 spotify_music_Ed-Sheeran_pop R_album	5
1 spotify_music_Ed-Sheeran_pop R_artist	Ed-Sheeran
1 spotify_music_Ed-Sheeran_pop R_track	Sunburn
1 spotify_music_Ed-Sheeran_hip-hop R_spotify_link	spotify_music_Ed-Sheeran_hip-hop
1 spotify_music_Ed-Sheeran_hip-hop R_genre	hip-hop
1 spotify_music_Ed-Sheeran_hip-hop R_album	Shape of you
1 spotify_music_Ed-Sheeran_hip-hop R_artist	Ed-Sheeran
1 spotify_music_Drake-More_pop R_spotify_link	spotify_music_Drake-More_pop
1 spotify_music_Drake-More_pop R_genre	pop
1 spotify_music_Drake-More_pop R_album	Life
1 spotify_music_Drake-More_pop R_artist	Drake-More
1 spotify_music_Ed-Sheeran_Photograph_pop R_spotify_link	spotify_music_Ed-Sheeran_Photograph_pop_resp_artist	
1 spotify_music_Ed-Sheeran_Photograph_pop R_genre	pop
1 spotify_music_Ed-Sheeran_Photograph_pop R_artist	Ed-Sheeran
1 spotify_music_Ed-Sheeran_Photograph_pop R_album	x-Wembley-Edition
1 spotify_music_Ed-Sheeran_Photograph_pop R_track	Photograph
1 spotify_music_Ed-Sheeran_Photograph_pop R_spotify_link	spotify_music_Ed-Sheeran_Photograph_pop_resp_artist
1 spotify_music_Charlie-Puth_Attention_pop R_spotify_link	spotify_music_Charlie-Puth_Attention_pop_resp_artist
1 spotify_music_Charlie-Puth_Attention_pop R_genre	pop
1 spotify_music_Charlie-Puth_Attention_pop R_album	spotify_music_Charlie-Puth_Attention_pop_resp_genre
1 spotify_music_Charlie-Puth_Attention_pop R_artist	Charlie-Puth
1 spotify_music_Charlie-Puth_Attention_pop R_album	Attention
1 spotify_music_Charlie-Puth_Attention_pop R_track	Attention
1 spotify_music_Kendrick-Lamar_Feel_hip-hop R_spotify_link	spotify_music_Kendrick-Lamar_Feel_hip-hop_resp_artist
1 spotify_music_Kendrick-Lamar_Feel_hip-hop R_genre	hip-hop
1 spotify_music_Kendrick-Lamar_Feel_hip-hop R_artist	Kendrick-Lamar
1 spotify_music_Kendrick-Lamar_Feel_hip-hop R_album	DAMN
1 spotify_music_Kendrick-Lamar_Feel_hip-hop R_track	Feel
1 spotify_music_Lady-Gaga_The-Cure_rap R_spotify_link	spotify_music_Lady-Gaga_The-Cure_rap_resp_artist
1 spotify_music_Lady-Gaga_The-Cure_rap R_genre	rap
1 spotify_music_Lady-Gaga_The-Cure_rap R_artist	Lady-Gaga
1 spotify_music_Lady-Gaga_The-Cure_rap R_album	The-Cure
1 spotify_music_Lady-Gaga_The-Cure_rap R_track	The-Cure
1 spotify_music_Lady-Gaga_The-Cure_rap R_spotify_link	spotify_music_Lady-Gaga_The-Cure_rap_resp_artist
